5000	random 	 no	10	0.042600	0.002000	0.004000	
10000	random 	 no	10	0.164000	0.004500	0.007000	
15000	random 	 no	10	0.366400	0.006000	0.011000	
20000	random 	 no	10	0.650100	0.008100	0.014900	
25000	random 	 no	10	1.012600	0.010000	0.019000	
30000	random 	 no	10	1.454600	0.011200	0.022600	
35000	random 	 no	10	2.197333	0.013000	0.026200	
40000	random 	 no	10	2.583800	0.015400	0.030400	
45000	random 	 no	10	3.263900	0.017000	0.034400	
50000	random 	 no	10	4.031900	0.019100	0.038400	
55000	random 	 no	10	4.871000	0.021100	0.042300	
60000	random 	 no	10	5.798200	0.023700	0.046600	
65000	random 	 no	10	6.801400	0.024600	0.050900	
70000	random 	 no	10	7.887700	0.026200	0.055400	
75000	random 	 no	10	11.313875	0.028800	0.059200	
80000	random 	 no	10	10.299800	0.030200	0.063300	
85000	random 	 no	10	11.625600	0.032100	0.067200	
90000	random 	 no	10	13.026700	0.034200	0.071500	
95000	random 	 no	10	14.535200	0.036300	0.077200	
100000	random 	 no	10	17.866556	0.038500	0.083000	
105000	random 	 no	10	17.724400	0.040300	0.085200	
110000	random 	 no	10	19.456700	0.042200	0.090500	
115000	random 	 no	10	23.640222	0.044100	0.094900	
120000	random 	 no	10	23.135700	0.047200	0.099800	
125000	random 	 no	10	25.100200	0.047500	0.104200	
130000	random 	 no	10	27.146900	0.051300	0.109800	
135000	random 	 no	10	29.282200	0.052500	0.068200	
140000	random 	 no	10	34.989444	0.054400	0.072400	
145000	random 	 no	10	33.767600	0.057000	0.074200	
150000	random 	 no	10	36.142500	0.059800	0.075800	
155000	random 	 no	10	38.570900	0.060300	0.078100	
160000	random 	 no	10	41.132500	0.062900	0.081800	
165000	random 	 no	10	48.604444	0.064300	0.084000	
170000	random 	 no	10	46.418400	0.068500	0.086400	
175000	random 	 no	10	54.690556	0.068700	0.089700	
180000	random 	 no	10	52.061900	0.070600	0.093000	
185000	random 	 no	10	78.566429	0.072600	0.094500	
190000	random 	 no	10	58.018700	0.074500	0.097900	
195000	random 	 no	10	61.282444	0.077400	0.100000	
